,channel_id,channel_name,channel_dop,sub_count,total_videos,profile
70,UCmGSJVG3mCRXVOP4yZrU1Dw,Johnny Harris,2011-06-08,4940000,328,https://yt3.ggpht.com/ytc/AIdro_n9m_jCw3eYQzS80K8eJW5HN0bRGc1LGtvgEc6XAg=s240-c-k-c0x00ffffff-no-rj
71,UCsN32BtMd0IoByjJRNF12cw,60 Minutes,2006-03-07,2770000,3285,https://yt3.ggpht.com/6is8wo4LohoLQWpC_HeuxcLjIimGuzJqYIqP4KRdeI6jQx6hgfbKOyIEaIV4mGwrpwI1dC5Y=s240-c-k-c0x00ffffff-no-rj
72,UCAidhU356a0ej2MtFEylvBA,OnlyIAS Extended,2021-12-04,456000,1539,https://yt3.ggpht.com/_I43ynDUROCGG7RUEw4F1t1Zw5memZnjCQKh0_KuoHYinznuz7PM6mK4gfHKayKTKTldJi2E=s240-c-k-c0x00ffffff-no-rj
73,UCdZY83VtDv0WieDHLyXrlNQ,Dovahhatty,2013-08-24,201000,32,https://yt3.ggpht.com/JL1bck3YTKj0PKRNnGC3pdzcvByoCPfNMRu3062z11hdWago5wgGFFmVIIRTojtBKvIKvLIZgw=s240-c-k-c0x00ffffff-no-rj
74,UCAuUUnT6oDeKwE6v1NGQxug,TED,2006-12-06,24100000,4631,https://yt3.ggpht.com/ytc/AIdro_kNj3WcuCpZpIwPdHhKPOWhxh9gUiTD0BG0dnOgGg=s240-c-k-c0x00ffffff-no-rj
75,UCrydVXgGelI6rEtOmKWAffg,WAS: Popular History,2020-03-11,50100,66,https://yt3.ggpht.com/0jcSEDP46tC4jAFHZHJuLRhDs6CRwjOl3QP5ebBPZvSFG95ed762ix6gGWr-XU9CQ24O0uxD=s240-c-k-c0x00ffffff-no-rj
76,UCJjSDX-jUChzOEyok9XYRJQ,Jubilee,2010-01-30,8590000,1180,https://yt3.ggpht.com/d4B1O0xCl6DJx6h1aZLgLWr4MO5h44f-0JL5qosNoejntdVRoW0OKVk1iLIN_65Ghz1wUF0LeiQ=s240-c-k-c0x00ffffff-no-rj
77,UCjjX7g9T83GQwp-OwUvoL4Q,Kranthi Vlogger,2016-11-24,1170000,752,https://yt3.ggpht.com/ytc/AIdro_nDNsThwZ0MLvQGwG0sCHSwXcbF193uR9-Itwu29Q=s240-c-k-c0x00ffffff-no-rj
78,UChDmf55WYF2keOb-khGk1iw,World Map,2011-09-30,109000,470,https://yt3.ggpht.com/SO-2s1QKpCagDKaovHu96exw9OAWBOoSTUyCz6p_H86JlGUAUkHx2f5zovRIccIsx_LhsT8c=s240-c-k-c0x00ffffff-no-rj
79,UC6WzPg6yxF9dQx2_O6R4lww,Nitish Rajput,2020-04-29,3820000,96,https://yt3.ggpht.com/Q5wDZkznd7zSD2RWT3HU9sqbwNkkkJtXgTxulaJoLAEl-U9-gbcIm6Of1rASj9RBotOedTih=s240-c-k-c0x00ffffff-no-rj
80,UCzb-6smlTg5UPirLdsdQ_cQ,Foil Arms and Hog,2008-10-26,942000,606,https://yt3.ggpht.com/ytc/AIdro_k4Zut1IK7lugPvTUgW9LlKCEv0kxsKTuWVaJgWZg=s240-c-k-c0x00ffffff-no-rj
81,UCTjDhFuGXlhx9Us0gq0VK2w,Times Radio,2020-06-17,739000,8485,https://yt3.ggpht.com/LUFXXYO7GCPeiZkpKxch89RgQ4-YK_CWqO2-fltTsRvAVu9SJSbsCZzF9bV8aK7JybsU088GgmM=s240-c-k-c0x00ffffff-no-rj
82,UCKQECjul8nw1KW_JzfBTP1A,KPRC 2 Click2Houston,2014-04-17,659000,75330,https://yt3.ggpht.com/_6ngYdjOYBf24Gs0jqFbnkr2E6RF8fPiRrB5B1jAkFyqq7Ks_wtwjmU9xuUBMAAK4usODp1sgg=s240-c-k-c0x00ffffff-no-rj
83,UCHd62-u_v4DvJ8TCFtpi4GA,Washington Post,2006-06-30,2330000,21234,https://yt3.ggpht.com/ytc/AIdro_nKSNX9LxmtjQZW6_iQPjH7oX5z6FbfZgK17qUGnA=s240-c-k-c0x00ffffff-no-rj
84,UCeY0bbntWzzVIaj2z3QigXg,NBC News,2006-07-19,9730000,62091,https://yt3.ggpht.com/GjDLYFGF4IQaUobUK-6q3nOsU4o8fRMl4XgVipPWRqdRVt61s2LqgnbBXu3-qYL4Ab2xsfVo=s240-c-k-c0x00ffffff-no-rj
85,UCoNUtq2hO0VBcwoXX0-f4vA,Jewish Voice for Peace,2006-08-10,13400,211,https://yt3.ggpht.com/ytc/AIdro_lVHLPWEhc71YAnhUcDhNqreoNkDxWWfznW6een=s240-c-k-c0x00ffffff-no-rj
86,UCIHdDJ0tjn_3j-FS7s_X1kQ,Valuetainment,2012-11-10,5340000,3214,https://yt3.ggpht.com/ytc/AIdro_lIioF_YzS-z4nwJzu10oSogGDjo9dtG1Q177NQjA=s240-c-k-c0x00ffffff-no-rj
87,UCY6KjrDBN_tIRFT_QNqQbRQ,Madan Gowri,2013-12-05,7280000,2673,https://yt3.ggpht.com/ytc/AIdro_m020clP08UaKLwpKsBX8s45LPnDEVSg2iyx2PNRXg=s240-c-k-c0x00ffffff-no-rj
88,UChLtXXpo4Ge1ReTEboVvTDg,Global News,2009-11-04,4150000,38427,https://yt3.ggpht.com/jiUGvHJL6pzbzE_tEtmhAJEfNZNXs_8vLokuqObIPAq8mrt22NeW1OZOpcm-azNJTmNwj03Z9Q=s240-c-k-c0x00ffffff-no-rj
89,UCBoo_MALVZlUBmSsQAtChVA,Daily Jesus Devotional,2023-06-22,761000,277,https://yt3.ggpht.com/6vmLK2DQXW3seEWcuH6OK0xE052JxUMasxROm9tDPB3MsfXE_nV7P65_-ZJ220bJBvwQnV_y7A=s240-c-k-c0x00ffffff-no-rj
90,UCPxMZIFE856tbTfdkdjzTSQ,BeerBiceps,2014-12-21,7000000,1250,https://yt3.ggpht.com/4syhBAa6d4sK_J8YxhRFHDyARee3qoR2bUtGMtRDyyVncFn41bSHUDf-FNmvcu3TD2JwowD8sA=s240-c-k-c0x00ffffff-no-rj
91,UC3njZ48-FDxLleBYaP0SZIg,The Hindu,2011-04-16,1410000,4707,https://yt3.ggpht.com/ytc/AIdro_nsn5jReQeM_fBivRmjAHTURx-Ot8UV4kWssGyx=s240-c-k-c0x00ffffff-no-rj
92,UCDpZr9QCE6ClX8S_CX8Gg4A,Encounter Books,2007-02-05,31300,48,https://yt3.ggpht.com/ytc/AIdro_kGQFMFre3RFCpoShWkOM43E9ePj5qQZAb5tE2j=s240-c-k-c0x00ffffff-no-rj
93,UChWtJey46brNr7qHQpN6KLQ,The Wire,2015-07-20,5070000,9479,https://yt3.ggpht.com/ytc/AIdro_n64XZ_MIle-ZKVzL3Xh1mVuWX3AqbmuTLLqCvEww=s240-c-k-c0x00ffffff-no-rj
94,UCLpn_QJwfehfKuTt0orfYDw,הדרך הקלה,2015-01-17,77400,276,https://yt3.ggpht.com/vjECvaLsH4c1ImOUAeCLNpqX1POxTzz9sF0mak0R_cBlIQ-q2Ak2m6_6oGuPdu5lvewSV8FQXx8=s240-c-k-c0x00ffffff-no-rj
95,UCwnKziETDbHJtx78nIkfYug,CaspianReport,2010-07-19,1460000,479,https://yt3.ggpht.com/ytc/AIdro_mqa338sqeWn2qVWFtCsdKv5me3WW5Ieb-Kje8L5A=s240-c-k-c0x00ffffff-no-rj
96,UCJg9wBPyKMNA5sRDnvzmkdg,LiveNOW from FOX,2014-01-14,3050000,18344,https://yt3.ggpht.com/dF1ZRcwWOxfn3AysqfW-MMIod2jPfCfgFkMLYiQWGMOiELVA7-nWN7PaXnEv1RfVxRe5S9z36ow=s240-c-k-c0x00ffffff-no-rj
97,UC3oKOKlDjM93TKyKLSCOWSQ,alexplain,2012-11-08,630000,226,https://yt3.ggpht.com/Sv59cFS6xRA5YflFKAuhXqhVEwBuGUVmXw3FPB7OJ5L7gfJO6uoBcpmauN18EY6hGmytOITOK4s=s240-c-k-c0x00ffffff-no-rj
