,video_id,comment,comment_cleaned
395,rGVgjS98OsU,Thank you for sharing this. Many people ignore history and talk about the future.,thank you for sharing this. many people ignore history and talk about the future.
396,rGVgjS98OsU,Isn’t it funny how the British avoid all responsibility and culpability? When the majority of geopolitical issues are Britains fault.,isn’t it funny how the british avoid all responsibility and culpability? when the majority of geopolitical issues are britains fault.
397,rGVgjS98OsU,"if you had released this AFTER october 7th, they’d have said you supported hamas, bc so many people choose not to think about or consider the fact that israel has been committing atrocities for a long time. decades.","if you had released this after october 7th, they’d have said you supported hamas, bc so many people choose not to think about or consider the fact that israel has been committing atrocities for a long time. decades."
398,rGVgjS98OsU,You won't see this on Fox News or CNN.,you won't see this on fox news or cnn.
399,rGVgjS98OsU,As a Jewish person in America I'm so sad that I was never taught this history.,as a jewish person in america i'm so sad that i was never taught this history.
400,rGVgjS98OsU,"Its important to note that during the Nakba, Palestinian resistance was already weakened because of the revolt of 1936 where Palestinians revolted agaisnt the British colonizers and were squashed, essentially eliminating political and military strength of Palestine.","its important to note that during the nakba, palestinian resistance was already weakened because of the revolt of 1936 where palestinians revolted agaisnt the british colonizers and were squashed, essentially eliminating political and military strength of palestine."
401,B12qniUwPMg,"„All land that was once inhabited by Germanic people must be added to Germany, no place for a Polish state.“ Now make an intelligent guess who said that.","„all land that was once inhabited by germanic people must be added to germany, no place for a polish state.“ now make an intelligent guess who said that."
402,B12qniUwPMg,"The term ""Palestine"" first appeared in the 5th century BCE when the ancient Greek historian Herodotus wrote of a ""district of Syria, called Palaistinê"" between Phoenicia and Egypt in The Histories","the term ""palestine"" first appeared in the 5th century bce when the ancient greek historian herodotus wrote of a ""district of syria, called palaistinê"" between phoenicia and egypt in the histori"
403,B12qniUwPMg,Can  you tell more indepth about the belfor declaration,can  you tell more indepth about the belfor declar
404,B12qniUwPMg,What books would you recommend for someone like me who wants a deeper understanding of the situation like you were able to do?,what books would you recommend for someone like me who wants a deeper understanding of the situation like you were able to do?
405,B12qniUwPMg,I pray for peace from both sides. No innocent people should be hurt in this massacre. May peace prevail.,i pray for peace from both sides. no innocent people should be hurt in this massacre. may peace prevail.
406,B12qniUwPMg,Where was that cartoon mocking the man who was killed in the terrorist attack published?  I can’t find it.,where was that cartoon mocking the man who was killed in the terrorist attack published?  i can’t find it.
407,REWfM4gVtow,This is more information than you will ever get from American news channels. Thank you,this is more information than you will ever get from american news channels. thank y
408,REWfM4gVtow,"So Qatar gives terror group Hamas $360 Million in unaccounted Aid each year. It is worthy of noting Qatar hosts no Palestinian Refugees though, in fact they expelled all Palestinians in 1993, even those working in the Qatari Government, and successful businessmen. They have an interesting way of supporting Palestine.","so qatar gives terror group hamas $360 million in unaccounted aid each year. it is worthy of noting qatar hosts no palestinian refugees though, in fact they expelled all palestinians in 1993, even those working in the qatari government, and successful businessmen. they have an interesting way of supporting palestine."
409,REWfM4gVtow,"What's happening between Israel and Palestine right now is absolutely disgusting and heartbreaking. No matter what there are innocent people caught in the middle and the more I see news reported on it, the more tears come to my eyes.","what's happening between israel and palestine right now is absolutely disgusting and heartbreaking. no matter what there are innocent people caught in the middle and the more i see news reported on it, the more tears come to my eyes."
410,REWfM4gVtow,"I lived for 35 years and I never understood the news. Until, I started following you and the first post. Please continue to be genuine and honest.","i lived for 35 years and i never understood the news. until, i started following you and the first post. please continue to be genuine and honest."
411,REWfM4gVtow,I miss American media being so unbiased and real with a news stories. Thank you for this information,i miss american media being so unbiased and real with a news stories. thank you for this inform
412,REWfM4gVtow,"If i saw her reading the news, i will never scroll back or forth for other news.. Cause she's the only trusted news reader as for me... #Palki Sharma 🙏🏻","if i saw her reading the news, i will never scroll back or forth for other news.. cause she's the only trusted news reader as for me... #palki sharma 🙏🏻"
413,oNW2p0nTEto,Thank you everybody for your kind comments. And for supporting Nas Company! :),thank you everybody for your kind comments. and for supporting nas company! :)
414,oNW2p0nTEto,*The Only Palestinian who can't say Free Palestine.*,*the only palestinian who can't say free palestine.*
415,oNW2p0nTEto,"""If you are neutral in situations of injustice, you have chosen the side of the oppressor"" Desmond Tutu","""if you are neutral in situations of injustice, you have chosen the side of the oppressor"" desmond tutu"
416,oNW2p0nTEto,The fact that this video was released one year ago and it's still happening today is just so sad.        Let's pray for PEACE 🙏,the fact that this video was released one year ago and it's still happening today is just so sad.        let's pray for peace 🙏
417,oNW2p0nTEto,Bro joined the history class from 1992.,bro joined the history class from 1992.
418,oNW2p0nTEto,"Even after a full year.. the war never ends.

May we all live in peace one day?","even after a full year.. the war never ends.

may we all live in peace one day?"
419,oNW2p0nTEto,This really aged horribly,this really aged horr
420,oNW2p0nTEto,"My dad is Palestinian but I am Canadian my dad lost 3 of his cousins,2 of his uncles and his grandpa died because of Israeli","my dad is palestinian but i am canadian my dad lost 3 of his cousins,2 of his uncles and his grandpa died because of isra"
421,oNW2p0nTEto,all we want is PEACE 😭,all we want is peace 😭
422,E0uLbeQlwjw,I thought India-Pakistan is a mess... But this on another level....,i thought india-pakistan is a mess... but this on another level....
